layer,head,a_电脑,a_纸箱,b_电脑,b_纸箱,a_margin_c1_minus_c2,b_margin_c1_minus_c2,delta_margin
5,19,0.99609375,0.000965118408203125,0.99609375,0.0033111572265625,0.9951286315917969,0.9927825927734375,-0.002346038818359375
5,20,0.9765625,0.0032501220703125,0.98046875,0.005096435546875,0.9733123779296875,0.975372314453125,0.0020599365234375
5,21,0.9921875,0.00024127960205078125,0.98828125,0.00031280517578125,0.9919462203979492,0.9879684448242188,-0.003977775573730469
5,22,0.73828125,0.01904296875,0.6328125,0.02099609375,0.71923828125,0.61181640625,-0.107421875
5,23,0.494140625,0.263671875,0.59765625,0.158203125,0.23046875,0.439453125,0.208984375
5,24,0.703125,0.109375,0.75390625,0.11962890625,0.59375,0.63427734375,0.04052734375
5,25,0.90234375,0.002655029296875,0.9140625,0.004425048828125,0.899688720703125,0.909637451171875,0.00994873046875
5,26,0.94921875,0.0024566650390625,0.96484375,0.0022735595703125,0.9467620849609375,0.9625701904296875,0.01580810546875
5,27,0.8125,0.0081787109375,0.7890625,0.0128173828125,0.8043212890625,0.7762451171875,-0.028076171875
6,0,0.96484375,0.0017547607421875,0.90625,0.004180908203125,0.9630889892578125,0.902069091796875,-0.0610198974609375
6,1,0.83203125,6.580352783203125e-05,0.85546875,0.0002899169921875,0.831965446472168,0.8551788330078125,0.02321338653564453
6,2,0.65625,0.0001544952392578125,0.6640625,0.0014190673828125,0.6560955047607422,0.6626434326171875,0.0065479278564453125
6,3,0.5078125,0.00408935546875,0.56640625,0.0081787109375,0.50372314453125,0.5582275390625,0.05450439453125
6,4,0.72265625,8.869171142578125e-05,0.7265625,0.000934600830078125,0.7225675582885742,0.7256278991699219,0.0030603408813476562
6,5,0.6171875,0.002227783203125,0.6953125,0.0035247802734375,0.614959716796875,0.6917877197265625,0.0768280029296875
6,6,0.390625,8.847564458847046e-09,0.326171875,5.736947059631348e-07,0.39062499115243554,0.32617130130529404,-0.0644536898471415
6,7,0.6328125,0.031494140625,0.46484375,0.059814453125,0.601318359375,0.405029296875,-0.1962890625
6,8,0.45703125,0.0634765625,0.498046875,0.054931640625,0.3935546875,0.443115234375,0.049560546875
6,9,0.412109375,0.0849609375,0.412109375,0.1123046875,0.3271484375,0.2998046875,-0.02734375
6,10,0.69921875,0.025146484375,0.78125,0.0233154296875,0.674072265625,0.7579345703125,0.0838623046875
6,11,0.82421875,0.04931640625,0.7890625,0.06005859375,0.77490234375,0.72900390625,-0.0458984375
6,12,0.91796875,0.00677490234375,0.91796875,0.0081787109375,0.91119384765625,0.9097900390625,-0.00140380859375
6,13,0.6015625,0.0732421875,0.6953125,0.052734375,0.5283203125,0.642578125,0.1142578125
6,14,0.73046875,0.0634765625,0.65625,0.08251953125,0.6669921875,0.57373046875,-0.09326171875
6,15,0.28515625,0.17578125,0.2138671875,0.1220703125,0.109375,0.091796875,-0.017578125
6,16,0.466796875,0.0302734375,0.330078125,0.027099609375,0.4365234375,0.302978515625,-0.133544921875
6,17,0.765625,0.04833984375,0.73828125,0.05859375,0.71728515625,0.6796875,-0.03759765625
6,18,0.9375,0.0234375,0.92578125,0.02978515625,0.9140625,0.89599609375,-0.01806640625
